name,total,count
"America's Communication Assn",29000,5
"Thorn Run Partners",28926,3
"Uw Health",28868,1
"BLS Investments",28800,5
"Casey, Gerry et al",28650,1
"Jennmar Corp                                      ",28600,1
"Airbus Group",28600,1
Ochsner,28500,1
"Kirby Corp",28500,3
"US-Cuba Democracy PAC",28500,2
"Grace Healthcare",28500,1
"Fertitta Entertainment",28500,1
"Wine Institute",28500,4
"Pivotal Group",28473,1
"Aetna Inc",28404,2
"Constellation Brands",28300,4
"Aurora Health Care",28280,1
"State of Tennessee",28210,1
"Bank of New York Mellon",28200,1
"Doll Distributing",28100,2
"Deason Capital Services",28100,3
"Adams & Reese",28050,3
"Rubin & Rudman",28000,1
"Marcus & Millichap",28000,4
"Capital Funding Group",28000,4
"Fluor Corp",28000,6
"Winston & Strawn",28000,3
"GFP Real Estate",28000,4
"Bobby Cox Companies",28000,1
"Third Point LLC",28000,5
ShopRite,28000,1
"McKinney Capital",28000,2
"Akonadi Foundation",28000,5
"Alta Resources",27950,1
"Butler Snow LLP",27900,1
"Westport Properties",27875,1
"Dallas Entrepreneur PAC",27850,1
"National Shooting Sports Foundation",27844,5
Emergeortho,27700,1
"Tom James Co",27700,1
"Tyson Foods",27650,2
"Crosslink Capital",27600,3
"Morris & Dickson",27600,1
"Rmk Management",27600,2
"State of North Dakota",27550,1
"California Dairies Inc",27500,6
"First Hawaiian Bank",27500,1
"Real Estate Roundtable",27500,5
"Chesapeake Energy",27500,4
"Manatt, Phelps & Phillips                         ",27500,1
"National Tank Truck Carriers Inc",27500,4
"Summit Partners",27400,3
"PNC Financial Services",27400,5
"Standard Industries",27400,5
"McKinley Assoc",27400,2
BancFirst,27350,1
"Corboy & Demetrio",27310,1
"Chugach Alaska",27300,2
"Centennial Holding Co",27300,1
"Western Mutual Insurance",27300,4
"Orrick, Herrington & Sutcliffe",27300,2
"Providence Health & Services",27251,1
"Pegasus Capital Advisors",27200,2
Avkare,27200,1
"Cleveland Browns",27200,2
"Duchossois Group",27200,2
"BayCare Clinic",27050,1
"Bernstein, Shur et al",27025,1
"Arnold & Itkin",27000,1
"Ares Management",27000,2
"Tifec                                             ",27000,1
"Rayes Inc",27000,1
"Harbinger Strategies",27000,1
"GBX Group",27000,1
"AstraZeneca Pharmaceuticals",26900,5
"Daybreak Express",26900,1
"ITC Holdings",26800,3
"Mountain Group Partners                           ",26800,1
"Hoar Construction",26800,1
"Mimedx Group",26800,2
"New Democrat Coalition",26800,5
"Ingram Industries",26800,1
"Chandi Group Usa",26800,3
"Turner Enterprises",26800,1
"DE Shaw & Co",26650,1
"Jenner & Block",26624,1
"Navigators Global",26600,2
"Clarkson Aerospace",26600,1
Valero,26600,1
"RPM International",26600,1
"Global Partners LP",26600,1
"Marathon Oil",26500,1
"Brown University",26399,1
"Michels Corp",26300,1
"Performance Trust",26300,1
"Boston Scientific Corp",26300,2
"Dunlap & Kyle",26300,2
"Advance America Cash Advance Centers",26300,2
"Spencer Enterprises",26200,2
"Quantum Research International",26200,4
"Envision Healthcare",26100,1
"Navistar International",26050,1
"Vanguard Group",26000,5
"Medico Industries",26000,2
"Safari Club International",26000,5
"Merit Medical Systems",25800,1
"Allied Wallet",25800,1
"Hilton Worldwide",25800,2
"Dow Chemical",25700,1
"Copart Inc",25600,2
"Latham & Watkins",25600,3
"Dupage Medical Group",25600,1
"Durst Organization",25600,2
"Belfer Management",25600,1
"Electric Boat Corp",25550,1
"Consolidated Edison of New York",25500,1
"Synovus Financial Corp                  ",25500,1
"Netjets Assn of Shared Aircraft Pilots",25500,4
"US Senate",25400,1
"Pacific Seafood Processors Assn",25400,1
"Equifax Inc",25300,1
"California Resources Corp",25200,1
"Berkshire Partners",25200,3
"Conduent Inc",25147,1
"Southern California Edison",25112,1
"Vail Resorts",25010,1
"Operating Engineers Local 57",25000,3
VoteVets.org,25000,3
"Chartwell Strategy Group",25000,3
"Branch Banking & Trust",25000,4
"Free Markets PAC",25000,1
E-PAC,25000,4
"National Restaurant Assn",25000,2
"Southern Co",25000,4
"National Cannabis Industry Assn",25000,3
"Growth Energy",25000,3
"Fund for a Conservative Future",25000,2
"Hawkeye PAC",25000,2
"Alabama Farmers Federation",25000,4
"American Society of Travel Advisors",25000,4
"Glover Park Group",25000,2
"American Academy of Pediatric Dentistry",25000,5
"National Community Pharmacists Assn",25000,5
"Michigan Sugar",25000,4
"Support to Ensure Victory Everywhere PAC",25000,3
"International Longshoremens Assn",25000,5
"Amscot Financial",25000,2
"PAC to the Future",25000,3
"Congressional Black Caucus PAC",25000,5
"Rxr Realty",25000,3
"Directors Guild of America",25000,3
"Blackrock Funds Services Group",25000,3
"Waters McPherson Mcneill",24800,1
"Vectren Corp",24777,1
"Ariel Investments",24650,3
"Marine Engineers Beneficial Assn/Dist 1",24627,6
"Asurion Corp",24598,3
"Delta Strategy Group",24528,1
"Pakistani American Public Affairs Cmte",24500,2
"Brett/Robinson Inc",24500,1
"US Peanut PAC",24500,5
"Winged Keel Group",24500,1
"Altice USA",24435,1
"San Francisco Unified School District",24422,1
"Keyes Automotive Group",24300,1
"Element Electronics",24300,1
"Hubbard Broadcasting",24300,1
"Mmr Group",24300,1
"Emergent BioSolutions",24300,3
"Matthews International Capital Management",24200,1
"UM Holdings",24154,3
"Urology Austin",24150,1
"Baker & McKenzie",24132,1
"Pelco Structural",24112,1
"US Acute Care Solutions",24100,3
"American International Group",24100,2
"Amsted Industries",24100,1
"Encompass Health",24100,2
"L&F Distributors",24100,2
"Cdl Nuclear Technologies",24000,2
"Wheaton Eye Clinic",24000,1
"Brown Brothers Harriman & Co",24000,3
"Blue Cross/Blue Shield of Michigan",24000,3
"United Technologies                     ",23818,1
"Costa Farms",23700,2
"Sei Investments",23600,1
"Alston, Hunt et al",23550,1
"Goulston & Storrs",23452,1
"American Orthotic & Prosthetic Assn",23374,2
"Harvard University Law School",23306,1
"Cerner Corp",23300,2
"American Medical Assn",23250,3
"Hawkins Construction",23200,2
"First Bank",23200,1
"Bracewell LLP",23150,2
"Beasley, Allen et al",23000,1
"Federal Aviation Admin Managers Assn",23000,3
"American Veterinary Medical Assn",23000,5
"McWane Inc",23000,2
"Mintz, Levin et al",22965,1
"State of Connecticut",22896,1
"Avenue Solutions",22770,2
"Comerica Inc",22700,2
"Tennessee Industrial Electronics",22600,3
"Ross & Yerger",22600,1
"Baron & Budd",22525,1
"National Assn of Spine Specialists",22500,4
"NelNet Inc",22500,2
"American Nurses Assn",22500,5
"American Assn of Clinical Urologists",22500,5
"National Pork Producers Council",22500,3
"CEMEX Inc",22500,5
"Adtalem Global Education",22500,3
"American Resort Development Assn",22500,4
"US Oncology",22500,3
"Riceland Foods",22500,2
"Emerson Collective",22400,4
"St George's University",22400,2
"Baupost Group",22400,5
"Civic Service Inc",22400,4
"Wonderful Co",22400,3
"New Balance Athletics",22400,2
"Patagonia Works",22400,2
"Hunter Engineering",22400,1
"Mackenzie Capital Management",22400,1
"Lmbi LP",22400,2
"Beztak Companies",22400,2
"Independence Tube",22400,2
"Kazan, McClain et al",22300,1
"Third Rock Ventures",22300,2
"Flowers Foods",22300,1
"Delaware Valley Urology",22250,1
"Trinity Industries",22200,3
"Simmons Law Firm",22150,1
"TD Ameritrade",22100,2
"Futuramic Tool & Engineering",22050,1
"Rock Creek Group",22000,1
"Concept Development",22000,2
"American Short Line & Regional RR Assn",22000,3
"Francisco Partners",22000,1
"Valve Corp",21950,1
"Clark Hill PLC",21950,1
"Children's Research & Education Institute",21800,2
"Bose, McKinney & Evans",21800,2
"Diamond Castle Holdings",21800,2
"Yelp Inc",21715,1
"Ellwood Group",21700,2
"Pruet Oil",21600,1
"Cline Group",21600,1
"Mach Industrial Group",21600,1
"Western Extrusions",21600,2
"Two Trees Management",21600,1
"Rumsfeld Foundation",21600,1
"Broad Pine Investments",21600,1
"Dreamworks SKG",21600,1
"Seeger Weiss LLP",21600,1
"Madden Contracting",21600,1
"Atrium Health & Senior Living",21600,1
"Baystate Medical Center",21600,1
"Centaurus Financial",21600,1
"Armstrong Group of Companies",21600,1
"McWane Inc                                        ",21600,2
"Mathena Inc",21600,1
"Yancy Brothers Co",21600,1
"Cullinan Properties",21600,3
"WDP Partners",21600,1
"Jerrold S Parker PC",21600,1
"Ice Miller LLP",21550,3
"Freedomworks JFC",21515,1
"Rain & Hail Insurance Society",21500,4
"Georgia Crown Distributing",21500,1
"Dentons US",21401,3
"Industrial Metals Recycling",21200,2
"Blue Cross & Blue Shield Assn",21200,2
"Trian Partners",21200,2
"Butler Amusements",21150,1
"University of Connecticut",21073,1
"Action Safety Supply",21050,2
"American Psychiatric Assn",21000,4
"American Assn of Nurse Anesthetists",21000,4
"Jim Jordan for Congress",21000,7
"National Corn Growers Assn",21000,2
"National Council of Farmer Co-Ops",21000,3
"Shipman & Goodwin",20997,1
"University of Chicago",20822,1
"Clos De La Tech",20800,2
"Burton Snowboards",20800,1
"JM Smucker Co",20800,2
"Artery Group",20800,1
"Prospector LLC",20800,2
"Great America Cmte",20800,3
"Crown Corr Inc",20800,1
"Nixon Peabody LLP",20730,2
"North Star Scientific",20700,1
"Walters Management",20600,1
"Athenahealth Inc",20501,1
"Northrop Grumman Innovation Systems",20500,4
"Marvin Windows",20433,1
"Medstar Health",20400,1
"Alternative Investment Group",20400,1
"Cactus Wellhead",20400,1
EmergeOrtho,20400,1
"Nan Inc",20300,1
"First American Financial Corp",20300,2
"Independence Blue Cross",20300,4
"Whirlpool Corp",20300,3
"Paragon Healthcare",20291,1
"Liquid Environmental Solutions",20200,3
"B&G Food Enterprises",20055,1
"Alzheimer's Assn",20000,4
"Port Authority Police Benevolent Assn",20000,3
"American Society of Interventional Pain Physicians",20000,3
"Republican Majority Fund",20000,1
"Getting Stuff Done PAC",20000,2
"Bass Brothers Enterprises",20000,2
"Forward Together PAC",20000,2
"Motor City PAC",20000,2
"New Pioneers PAC",20000,2
"New Majority PAC",20000,2
"Federation of American Hospitals",20000,2
"New Jersey Urology",20000,1
"Jobs, Economy & Budget Fund",20000,2
"Jobs, Opportunities & Education PAC",20000,4
"National Propane Gas Assn",20000,4
"Farmers Group",20000,3
"American College of Surgeons Prof Assn",20000,3
"National Cattlemen's Beef Assn",20000,3
"One Georgia PAC",20000,2
"American Assn of Crop Insurers",20000,3
"National Business Aircraft Assn",20000,2
"National Assn of Chemical Distributors",20000,3
"First Principles Fund",20000,2
"No Labels Problem Solvers",20000,3
"CR Bard Inc",20000,2
"Dan Shapiro                                       ",20000,1
"Alamo PAC",20000,2
"Defend America PAC",20000,2
"United Steelworkers",20000,3
"Centerview Partners",19900,1
"Innovative Federal Strategies",19700,3
"Masters, Mates & Pilots Union",19627,5
"Blessey Marine Service                            ",19623,1
"RM Towill Corp",19600,1
"CC Residential                                    ",19600,1
"Hanor Co",19500,1
"American Physical Therapy Assn",19500,4
"Entergy Corp",19500,5
"Creative Artists Agency",19450,1
"II-VI Inc",19400,1
"Timken Co",19331,2
"Sun Tan City",19300,1
"ONEOK Inc",19300,2
"Susquehanna International Group",19300,2
"Federal Policy Group",19300,2
"Munley Law",19200,1
"Davita Inc",19200,1
"Ogilvy Government Relations",19200,2
"Greater Boston Urology",19125,1
"Costco Wholesale",19105,1
"Gerawan Farming",19100,2
"Columbia University",19009,3
"Doctors' Co",19005,3
"Kidney Care Partners",19000,2
"Edwards Lifesciences",19000,2
"Credit Suisse Securities",19000,2
"Camden Property Trust",19000,3
"Knight Hawk Coal",19000,1
"Edison Electric Institute",19000,4
"Pikeville Medical Center",19000,1
"Republican Main Street Partnership",19000,4
"National Education Assn",19000,4
"National Active & Retired Federal Employees Assn",19000,3
"Valley Proteins",18900,1
"Salvi, Schostok & Pritchard",18900,1
"Harris Farms",18900,1
"Simon Property Group",18900,1
"MCNA Dental Plans",18900,1
"Tyner Pond Farm",18900,1
"National Distributing Co",18800,2
"Edward C Levy Co",18800,2
"Oneida Indian Nation",18800,4
"Elevation Partners",18780,3
"State Of New Hampshire",18705,1
"Loews Corp",18700,1
"Lettuce Entertain You",18700,1
"McCormack Sheep & Grain",18700,2
"Hawaii Medical Service Assn",18700,1
"Strategies 360",18700,1
"Ocean Champions",18630,1
"NTCA/Rural Broadband Assn",18500,4
"Southwest Airlines Pilots Assn",18500,3
"Gale International",18500,1
"Tenaska Inc",18400,1
"Progeny Systems",18400,1
"Mednax Inc",18400,2
Khorus,18300,1
"Bowles & Co",18300,1
"RAI Services Co",18200,1
"University of Oregon",18170,1
PriceWaterhouseCoopers,18103,2
"Truman Arnold Companies",18100,1
"Sentinel Real Estate",18100,1
"Cole Schotz PC",18100,1
"Sa Recycling",18100,1
"American Chiropractic Assn",18000,3
"Sills, Cummis & Gross",18000,1
"American Osteopathic Assn",18000,3
"Aloha Partners",17900,1
"Maxwell Group",17900,1
"End Citizens United",17850,3
"Consumer Bankers Assn",17800,3
"Langlas & Assoc",17800,1
"Frontline Homeowner's Insurance",17800,1
"CareFirst Blue Cross/Blue Shield",17775,1
"Americans for the Arts",17700,4
"University of North Dakota",17700,1
"Dinkel Implement",17700,1
"Oregon State University",17588,1
"Seacoast Commerce Bank",17550,1
"Dimeo Construction",17550,1
"Appraisal Institute",17500,3
"Morongo Band of Mission Indians",17500,4
"National Action Cmte",17500,3
"John S Fund",17500,2
"Pg Genatt Group",17500,1
"HollyFrontier Corp",17500,2
"McKesson Corp",17500,3
"Boston Consulting Group",17400,2
"Atlas Holdings",17400,2
"PJT Partners",17400,2
Esri,17400,3
"Carnegie Mellon University",17300,2
"Peter Kiewit Sons",17200,1
"Ryder System",17200,1
N3,17200,1
"Bowdoin College",17175,1
"Advantage Direct Communication",17141,1
"State of Hawaii",17129,1
"Radiology Inc",17050,1
"InterDigital Inc",17000,3
"Lario Oil & Gas",17000,1
"Campbell Soup",17000,1
"Wholesale & Specialty Insurance Assn",17000,2
"American Podiatric Medical Assn",17000,4
"Oklahoma Heart Hospital",16959,1
"Drummond Woodsum",16950,1
"Portland State University",16834,1
"Flora-Bama Package & Lounge                       ",16800,1
"Tremont Partners",16800,1
"Pilot Flying J",16800,1
"Saad Enterprises",16800,1
"Park Circle Investments",16800,2
"Walker Die Casting",16800,1
"Mostyn Law Firm",16800,1
"Centerbridge Partners",16800,1
"Berkshire Group",16800,2
"Hunt Oil",16800,2
"Related Companies",16800,2
"Telacu Construction Management",16800,2
"Shea Labagh Dobberstein Cpas",16800,1
"Gulf Distributing Holdings",16800,1
"Smith's Inc",16800,2
"Neuberger Berman LLC",16800,1
"Kleiner, Perkins et al                  ",16800,1
"Jim Click Automotive",16800,2
"Bodley Group",16800,1
"The Capital Corp",16800,1
"Pepsi Cola Bottling Co of Atmore",16800,1
"Forest City Enterprises",16800,2
"Sierra Pacific Industries",16800,1
"Lexus of the Lehigh Valley",16800,1
"Analysis Group",16800,3
"WestRock Co                                       ",16800,1
"Ag Spanos Companies",16800,1
"Anesthesia Assoc of Southern Illinois",16800,2
"Hoosier Racing Tire",16800,1
"Sagamore Capital LLC",16800,2
"Union Pacific Railroad",16775,1
"Meridian Properties",16700,1
"West Virginia Paving",16700,1
"Weeks Marine Inc",16700,3
"Northwest Bio Therapeutics",16700,1
"Texas Instruments",16700,2
NBC,16665,1
"York Risk Service Group",16650,1
"George Little Management",16625,2
"Continental Wingate",16600,1
"Vigor Industrial",16600,1
"Harbour Group Industries",16600,3
"Artery Capital Group",16600,1
"Miller Barondess Llp",16596,1
"Duke University",16555,2
"Astrophysics Inc",16500,1
"Allied Group",16500,2
"Dairy Farmers of America",16500,3
"Lee Auto Mall",16500,1
"Society of Thoracic Surgeons",16500,3
"National Chicken Council",16500,3
"McCarthy Auto Group",16500,1
"Invest in a Strong & Secure America",16500,3
"Dp Fox Ventures",16400,2
"US Anesthesia Partners",16400,2
"Rudin Management",16400,2
"Fairholme Capital Management",16400,1
"Anschutz Corp",16400,2
"Boich Companies",16400,1
"Top Rock LLC",16400,2
"University of New Hampshire",16302,1
"Urology Group",16300,1
"National Grid USA",16300,2
"H&K Group",16250,1
"Intuit Inc",16205,2
"Southern Glazer's Wine & Spirits",16202,1
"Wynn Resorts",16200,2
"Georgelas Group",16200,1
"Legacy Bank",16200,1
"Wright Brothers Construction",16200,1
"Select Energy Services",16200,1
"Denver West Real Estate",16200,1
"Gaming Capital Group",16200,1
"Robindale Energy Services",16200,1
"Keller Investment Properties",16200,1
"Strategic Capital Partners",16200,1
"Tharaldson Hospitality",16200,1
"Highway Equipment Co",16200,1
"Keiser University",16200,2
"Plum Healthcare Group",16200,1
"Connell Co",16200,1
"E&A Industries",16200,1
"Credit Renaissance Partners",16200,2
"Eton Park Capital Management",16200,1
"Mastec Inc",16200,1
"Veritiv Corp",16200,2
"Trinitas Ventures",16200,1
"Cardon Global",16200,1
"Hodgdon Powder",16200,1
"Hall Capital Partners",16200,1
"Rdl Inc",16200,1
"Normandy Real Estate Partners",16200,1
"eHealth Inc",16200,1
Ulf,16200,1
"American Contractors Insurance Group              ",16200,1
"Liminality Capital",16200,1
"Hagan, Noll & Boyle",16200,1
"Nevada Retina Assoc",16200,2
"Cohen Group",16157,1
"Breakthru Beverage Group",16100,2
"Venn Strategies",16100,1
"Green Plains",16050,1
"Manufactured Housing Institute",16000,2
"Ticketmaster Corp",16000,1
"Werner Enterprises",16000,1
"Horsepower Electric",16000,1
"Associated Urological Specialists",16000,1
"American College of Physicians Services",16000,3
"UFCW Local 1776",16000,3
"Carnival Cruise Lines                             ",16000,3
"Rolls-Royce North America",16000,3
"American Peanut Shellers Assn",16000,3
"National Council of Textile Orgs",16000,3
"RagingWire Enterprise Solutions",15975,1
"McDermott, Will & Emery",15950,1
"Perspecta Inc",15800,1
"Western Slopes Security Services",15800,1
Jobdig,15800,1
"Beyond Broadway LLC",15800,1
"Ervin Industries",15800,1
"ICM Partners",15800,1
"Pohlad Companies",15800,1
"Williams Group International",15800,2
"Chandi Group USA",15799,1
"HCR Manor Care",15670,1
"Ryan Llc",15600,1
"Jay Cashman Inc",15600,2
"American Council Of Life Insurers",15600,1
"Federated Investors Inc                           ",15600,1
"Hsl Properties",15500,1
"National Roofing Contractors Assn",15500,3
"National Milk Producers Federation",15500,2
"Cooper Communities",15500,1
"California Farm Bureau",15500,3
"Ruan Companies",15400,1
"Paulson & Co",15400,1
"WarnerMedia Group",15400,2
"Fred Smith Co",15399,2
"Lindy Paving",15305,1
"H&E Equipment Services",15300,1
"Alpine Group",15300,1
"Contura Energy",15299,1
"NiSource Inc",15200,2
Salesforce.com,15200,2
"Inland Real Estate Group",15200,1
"Freedom Mortgage",15200,1
"Larkspur Management",15050,1
"Aircraft Owners & Pilots Assn",15000,2
"Kayla's List",15000,2
"Humana Inc",15000,3
"Options Clearing Corp",15000,1
"Pioneer PAC",15000,2
"American Academy of Neurology",15000,3
"CHS Inc",15000,3
"John Bolton PAC",15000,2
"Huck PAC",15000,3
"US Travel Assn",15000,4
"White Pine Capital Manager",15000,3
"Operating Engineers Local 12",15000,3
"Scoggin Capital Management",15000,1
"Making Business Excel PAC",15000,1
"Society of Interventional Radiology",15000,2
"Buccini/Pollin Group",15000,1
"Intl Academy of Compounding Pharmacists",15000,3
"Airlines for America",15000,2
"Aluminum Assn",15000,3
"Dynetics Inc",15000,2
"Senator Investment Group",15000,3
"Citizens United",15000,3
"Eastman Chemical",15000,2
"Owner-Operator Independent Drivers Assn",15000,3
"RELX Inc",15000,3
"Babcock & Wilcox Enterprises",15000,2
"Alaska Frontier Constructors                      ",15000,1
"IBEW Local 98",15000,2
"California Rice Industry Assn",15000,3
"Gibson Group",15000,3
"American Lighting Assn",14998,2
"Hsp Direct",14900,1
"New York Stock Exchange",14850,1
"CM Tucker Lumber",14800,1
"The Hartford",14750,1
"State of Oregon",14700,1
"University of Hawaii",14685,1
"McKee Baking Co",14600,2
"C3 Capital Partners",14600,1
"Chemorse Ltd",14550,2
"Solers Inc",14500,2
"Manchester Financial Group",14500,1
"Charah Inc",14500,1
"American Assn of Neurological Surgeons",14500,4
"Lincare Corp",14499,1
"Glaser Weil",14400,1
"Allegheny Technologies",14375,1
"Small Business Investor Alliance",14300,3
"Walter P Moore & Assoc",14300,1
"L&R Structural Corp",14200,1
"Consol Energy",14200,1
"Liberty Partners Group",14150,3
"Enterprise Products Partners",14100,1
"Realpage Inc",14050,1
Ancora,14000,1
"American Seniors Housing Assn",14000,3
"J Smith Lanier & Co                               ",14000,1
"Xana Management",14000,3
"Breland Homes",14000,2
"National Assn of Mutual Insurance Companies",14000,3
"Avera Health Systems                    ",14000,1
"National Ready Mixed Concrete Assn",14000,3
"Schwan's Co",14000,3
"Ameren Corp",14000,3
"Park Place Group",14000,2
"Smith & Nephew",14000,2
"Daly Consulting Group",14000,2
"Michael Companies",14000,1
"Alphabet Inc",13900,3
"Keller/Anderle LLP",13900,1
"De Moya Group",13800,1
"Central Maine Motors Auto Group",13800,1
"Florida Cancer Specialists",13800,1
"San Manuel Band of Mission Indians",13800,2
"INTRUST Bank",13750,1
"Mull Drilling",13750,2
"Resurgens Orthopaedics",13750,1
Systel,13700,1
"Plastipak Packaging",13700,1
"Southwest Ford",13700,2
"Global Crop Diversity Trust",13700,3
"Therapeutics MD",13700,1
"Prescott Investors",13700,2
"Mallinckrodt Pharmaceuticals",13700,1
"MAU Workforce Solutions",13600,1
"Eckert, Seamans et al",13600,1
"Blue Origin",13600,2
"Veterans United",13600,1
"Haselden Construction",13575,1
"Lunds Fisheries",13550,1
"HBJ Investments",13500,1
"Leprino Foods",13500,1
"Penske Truck Leasing",13500,1
"Silvi Concrete",13500,1
"Xr Trading",13500,1
"Cobham Management Services",13500,3
"Starr Companies",13500,1
"MAH Inc",13500,1
"College Loan Corp",13500,1
"American Warrior Inc",13500,1
"De Shaw & Co",13500,1
"State of Maine",13450,1
"Western Technical College (Texas)",13400,2
Geiger,13400,1
"Savills Inc",13400,1
"Morning Star Co",13400,1
"First Service Bank",13300,1
"Pasha Group",13300,2
"Barona Band of Mission Indians",13300,3
"Coordinates Operations",13200,1
"Galpin Motors",13200,1
"Fitzpatrick Enterprises",13200,2
"Black Hills Harley-Davidson",13200,1
"Kimble Companies",13200,2
"Clean Energy",13150,1
"Conestoga Energy Partners",13100,1
"Generations Healthcare",13100,1
"Stanley Bank",13050,1
"CropLife America",13000,2
"College of American Pathologists",13000,3
"Ipx 1031",13000,1
"Marwood Group",13000,2
"Dean Foods",13000,1
"Insured Retirement Institute",13000,3
"American Assn/Oral & Maxillofacial Surg",13000,3
"Peachtree Orthopaedic Clinic",13000,1
"National Indian Gaming Assn",13000,3
"Paul, Weiss et al                       ",13000,1
"BASF Corp",12970,3
"Miller & Martin",12936,1
"Ipx 1031 Exchange Services",12888,1
"Cooper Farms",12800,2
"Sea Box Inc",12800,1
"Joseph Auto Group                                 ",12800,1
"L Brands",12800,2
"Golden Age Farm",12800,2
"Zweig-Dimenna Assoc",12800,1
"Montna Farms",12800,1
"Harris, Williams & Co",12800,1
"Council on Foreign Relations",12700,1
"Florida East Coast Industries",12700,1
Rent-A-center,12700,1
"T Rowe Price",12700,1
"EDP Enterprises",12700,1
"Multiversal Enterprises",12516,2
"Major League Baseball Commissioner's Ofc",12500,2
"Republican Party of Ohio",12500,1
"United Pilots PAC",12500,3
"21st Century Fox",12500,1
"Blue Cross/Blue Shield of California",12500,3
"Weston Solutions",12500,2
"Fearless for the People",12500,2
"Travelers Companies",12500,3
"Phillips 66",12500,2
"The Jockey Club",12500,2
"Great Southern Wood Preserving",12400,1
"Digital Vision Inc",12395,1
"Parker Towing",12300,1
"Phelps-Tointon Inc",12300,1
"Terra Linda Farms",12266,1
"Aircraft Owners & Pilots Assn                     ",12250,1
"Gates Capital Management",12200,1
Cooper,12200,1
"Thomas Safran & Assoc",12200,2
"Kleinheinz Capital Partners",12129,2
"Garlic Co",12100,1
"Flaum Management",12050,2
"United Legwear Co",12050,1
"Bloomin' Brands",12000,2
"Principal Life Insurance",12000,1
"Ryan for Congress",12000,4
"Columbia Southern University",12000,1
"National Organization of Social Security Claimants",12000,2
"New PAC",12000,1
"Quirk Auto Group",11900,1
"Uni-Trade Forwarding",11850,1
"Navient Corp",11826,1
"Lyons Magnus",11814,1
Vivage,11809,1
"Arizona Urology Specialists",11800,1
"Anna & John J Sie Foundation",11800,1
"Orange County Assoc",11800,2
"Lane Powell PC",11750,1
"AAR Corp",11700,1
"Bracey'S Supermarkets",11700,1
"Ross Design & Engineering",11700,1
"Daschle Group",11700,1
"Quinn, Emanuel et al",11700,1
"Caid Industries                                   ",11700,1
"Conejo Valley Unified School District",11700,2
Walgreens,11600,3
"D'Escoto Inc",11600,1
"International Leadership Foundation",11600,3
"Kapstone Paper & Packaging",11600,1
"Ballard Petroleum                                 ",11600,1
"Laureate Education",11550,1
"Duarte Nursery",11550,1
"AECOM Global",11550,1
"Manocherian Brothers",11500,1
"National Grocers Assn",11500,1
"Black America's PAC",11500,1
"H&R Block",11500,1
"American Defense International",11449,2
"Twin Rivers Paper Co",11400,1
"Muhlenkamp & Co",11400,1
"Medstar Shah Medical Group",11300,1
"Vesper Holdings",11300,1
"Nichols Farms",11300,1
"Elwood Staffing",11300,1
"21st Mortgage",11300,1
"Sawaya Law Firm",11300,1
"Grant Street Group",11300,1
"Navigators Global                                 ",11300,1
"Cottingham & Butler",11300,1
"Inland Group",11290,1
"Ward & Smith",11275,1
"PepsiCo Inc",11266,2
"Young, Conaway et al                    ",11250,1
"State of New Hampshire",11245,2
"Novo Nordisk",11235,2
"Warland Investments",11228,2
Lionsgate,11201,1
"Lee Properties",11200,1
"Anderson Trucking Service",11200,1
"Electronics Inc                                   ",11200,1
"Alzheimers Impact Movement",11200,2
"S Daniel Abraham Center for Middle East Peace",11200,1
"Map Development LLC",11200,1
"Bessemer Venture Partners                         ",11200,1
"Rustic Canyon Partners",11200,2
"Royal Realty",11200,2
"Wild West Shirt Co",11200,1
"Wicklow Capital",11200,2
"Goff Capital",11200,1
"Pacific Tomato Growers Ltd                        ",11200,1
"Idaho Forest Group",11200,2
Emc,11200,2
"Imflux                                            ",11200,1
"Ignition Partners",11200,1
"Motorola Solutions",11200,1
"Hya Enterprise",11200,1
"Bancroft Investments                              ",11200,1
"Middleton Partners",11200,1
"American Structurepoint",11200,2
"Fun Spot America",11200,1
"Patriot Machine",11200,1
"Cherry Hill Dodge",11200,1
"Shinn & Co",11200,1
"Patagonia Inc",11200,1
"Midway Usa",11200,1
"Newton Enterprises",11200,1
"World Wide Technology",11200,1
"Shenkman Capital Management                       ",11200,1
"Rock Holdings",11200,1
"Park Square Realty",11200,1
"Willard Asphalt Paving",11200,1
"Billings Flying Service",11200,1
"Maple Engine LLC",11200,2
"Northwell Health",11200,1
"Stern Developmwent",11200,1
"Midfirst Bank",11200,1
"Rocky Research",11200,2
"Brandenburg Industrial Service",11200,2
"Crescent Plastics                                 ",11200,1
"Roeco Holdings",11200,1
"Dynalab                                           ",11200,1
"Roll International",11200,1
"Paine Schwartz",11200,1
"Jordan Real Estate Investments",11200,2
"Johnson-Laird Inc",11200,1
"PLC Investments",11200,1
"Denali Group",11200,1
"Cook Spring Co",11200,1
"JANA Partners",11200,1
"Cottonwood Properties                             ",11200,1
"Certain Software Inc",11200,1
"Continental Finance Co",11200,2
"Timber Ridge Builders",11200,1
"Gehry Partners",11200,1
"Menholt Auto Group",11200,1
"Brinkmann Constructors                            ",11200,1
"Continental Properties",11200,2
"Billion Auto Group",11200,1
"GCI Group",11200,1
"White-Spunner Construction",11200,1
"Wynalda Litho Inc                                 ",11200,1
"Axiom International Investors",11200,1
"Ameriqual Group",11200,1
"GDC Properties                                    ",11200,1
"Medley Partners",11200,1
"Semitool Inc",11200,1
"Ldj Global Strategies",11200,2
"Jh Land LLC",11200,1
