donation_number,donor,legislator,amount,releasedate
2550,"Congressional Black Caucus PAC",N00001003,5000,"2019-10-16 00:00:00 +0000"
2551,"Goldman Sachs",N00001003,5000,"2019-10-16 00:00:00 +0000"
2552,"Kayla's List",N00001003,5000,"2019-10-16 00:00:00 +0000"
2553,"Machinists/Aerospace Workers Union",N00001003,5000,"2019-10-16 00:00:00 +0000"
2554,"National Assn of Letter Carriers",N00001003,5000,"2019-10-16 00:00:00 +0000"
2555,"Senator Investment Group",N00001003,5000,"2019-10-16 00:00:00 +0000"
2556,"Standard Industries",N00001003,5000,"2019-10-16 00:00:00 +0000"
2557,"Teamsters Union",N00001003,5000,"2019-10-16 00:00:00 +0000"
2558,"White Pine Capital Manager",N00001003,5000,"2019-10-16 00:00:00 +0000"
2559,"Kleiner, Perkins et al                  ",N00007335,16800,"2019-10-16 00:00:00 +0000"
2560,"Granite Telecommunications",N00007335,11200,"2019-10-16 00:00:00 +0000"
2561,"Marcus & Millichap",N00007335,11200,"2019-10-16 00:00:00 +0000"
2562,"Wilson, Sonsini et al                   ",N00007335,11200,"2019-10-16 00:00:00 +0000"
2563,"Gilead Sciences",N00007335,11000,"2019-10-16 00:00:00 +0000"
2564,"AmerisourceBergen Corp",N00007335,10000,"2019-10-16 00:00:00 +0000"
2565,"T-Mobile USA",N00007335,10000,"2019-10-16 00:00:00 +0000"
2566,"US Anesthesia Partners",N00007335,8900,"2019-10-16 00:00:00 +0000"
2567,"Intuit Inc",N00007335,8100,"2019-10-16 00:00:00 +0000"
2568,"US Acute Care Solutions",N00007335,8000,"2019-10-16 00:00:00 +0000"
2569,"Golden Gate Urology",N00007335,7200,"2019-10-16 00:00:00 +0000"
2570,"Cisco Systems",N00007335,7100,"2019-10-16 00:00:00 +0000"
2571,"Urological Surgeons of Northern Califo",N00007335,6500,"2019-10-16 00:00:00 +0000"
2572,"Alphabet Inc",N00007335,5600,"2019-10-16 00:00:00 +0000"
2573,"Chartwell Hotels",N00007335,5600,"2019-10-16 00:00:00 +0000"
2574,"Exploramed Development",N00007335,5600,"2019-10-16 00:00:00 +0000"
2575,Genesys,N00007335,5600,"2019-10-16 00:00:00 +0000"
2576,"Guttman Initiatives",N00007335,5600,"2019-10-16 00:00:00 +0000"
2577,"Klein Financial",N00007335,5600,"2019-10-16 00:00:00 +0000"
2578,"Masimo Corp",N00007335,5600,"2019-10-16 00:00:00 +0000"
2579,Neuropace,N00007335,5600,"2019-10-16 00:00:00 +0000"
2580,"O'Brien Homes",N00007335,5600,"2019-10-16 00:00:00 +0000"
2581,"Orbital Insight",N00007335,5600,"2019-10-16 00:00:00 +0000"
2582,"Paloma Partners",N00007335,5600,"2019-10-16 00:00:00 +0000"
2583,"Premier Properties",N00007335,5600,"2019-10-16 00:00:00 +0000"
2584,"Ripple Labs",N00007335,5600,"2019-10-16 00:00:00 +0000"
2585,"Schmidt Family Foundation",N00007335,5600,"2019-10-16 00:00:00 +0000"
2586,"The Foundry",N00007335,5600,"2019-10-16 00:00:00 +0000"
2587,"Allen Mineral & Royalty LLC",N00031672,5400,"2019-06-10 00:00:00 +0000"
2588,"Espejo Energy",N00031672,5400,"2019-06-10 00:00:00 +0000"
2589,"Ewing Constructions Co",N00031672,5400,"2019-06-10 00:00:00 +0000"
2590,"Fleetpride                                        ",N00031672,5400,"2019-06-10 00:00:00 +0000"
2591,"Gates Mineral",N00031672,5400,"2019-06-10 00:00:00 +0000"
2592,"Repcon Inc",N00031672,5400,"2019-06-10 00:00:00 +0000"
2593,"Rlb Contracting",N00031672,5400,"2019-06-10 00:00:00 +0000"
2594,"Susser Holdings",N00031672,5400,"2019-06-10 00:00:00 +0000"
2595,"Texas Star Investments",N00031672,5400,"2019-06-10 00:00:00 +0000"
2596,"American Crystal Sugar",N00031672,5000,"2019-06-10 00:00:00 +0000"
2597,"American Maritime Officers",N00031672,5000,"2019-06-10 00:00:00 +0000"
2598,"American Short Line & Regional RR Assn",N00031672,5000,"2019-06-10 00:00:00 +0000"
2599,"American Society of Anesthesiologists",N00031672,5000,"2019-06-10 00:00:00 +0000"
2600,"Exxon Mobil",N00031672,5000,"2019-06-10 00:00:00 +0000"
2601,"Google Inc",N00031672,5000,"2019-06-10 00:00:00 +0000"
2602,"Invest in a Strong & Secure America",N00031672,5000,"2019-06-10 00:00:00 +0000"
2603,"Majority Cmte PAC",N00031672,5000,"2019-06-10 00:00:00 +0000"
2604,"National Air Traffic Controllers Assn",N00031672,5000,"2019-06-10 00:00:00 +0000"
2605,"National Assn of Broadcasters",N00031672,5000,"2019-06-10 00:00:00 +0000"
2606,"Prosperity Action",N00031672,5000,"2019-06-10 00:00:00 +0000"
2607,"Union Pacific Corp",N00031672,5000,"2019-06-10 00:00:00 +0000"
2608,"National Republican Senatorial Cmte",N00009573,48059,"2019-06-10 00:00:00 +0000"
2609,"American Airlines",N00009573,36950,"2019-06-10 00:00:00 +0000"
2610,"US Airways",N00009573,29900,"2019-06-10 00:00:00 +0000"
2611,"Pinnacle West Capital",N00009573,29850,"2019-06-10 00:00:00 +0000"
2612,"Pivotal Group",N00009573,28473,"2019-06-10 00:00:00 +0000"
2613,Freeport-McMoRan,N00009573,27800,"2019-06-10 00:00:00 +0000"
2614,"Marriott International",N00009573,25400,"2019-06-10 00:00:00 +0000"
2615,"Salt River Valley Water Users' Assn",N00009573,24750,"2019-06-10 00:00:00 +0000"
2616,"AQR Capital Management",N00009573,21600,"2019-06-10 00:00:00 +0000"
2617,"Express Scripts",N00009573,21450,"2019-06-10 00:00:00 +0000"
2618,"Raytheon Co",N00009573,20500,"2019-06-10 00:00:00 +0000"
2619,"Apollo Management                       ",N00009573,18200,"2019-06-10 00:00:00 +0000"
2620,"Club for Growth",N00009573,16224,"2019-06-10 00:00:00 +0000"
2621,"PVS Chemicals",N00009573,16200,"2019-06-10 00:00:00 +0000"
2622,"Visa Inc",N00009573,15700,"2019-06-10 00:00:00 +0000"
2623,"American Hotel & Lodging Assn",N00009573,15000,"2019-06-10 00:00:00 +0000"
2624,"AT&T Inc",N00009573,15000,"2019-06-10 00:00:00 +0000"
2625,"Common Values PAC",N00009573,15000,"2019-06-10 00:00:00 +0000"
2626,"Exxon Mobil",N00009573,15000,"2019-06-10 00:00:00 +0000"
2627,"National Restaurant Assn",N00009573,15000,"2019-06-10 00:00:00 +0000"
2628,"Paul, Weiss et al",N00009573,15000,"2019-06-10 00:00:00 +0000"
2629,"McKee Foods",N00030815,18700,"2019-10-16 00:00:00 +0000"
2630,"Wright Brothers Construction",N00030815,16200,"2019-10-16 00:00:00 +0000"
2631,"Bechtel Group",N00030815,11200,"2019-10-16 00:00:00 +0000"
2632,"Analysis & Measurement Services",N00030815,10800,"2019-10-16 00:00:00 +0000"
2633,"Oak Ridge National Laboratory",N00030815,10800,"2019-10-16 00:00:00 +0000"
2634,"McKee Baking Co",N00030815,10600,"2019-10-16 00:00:00 +0000"
2635,"GEO Group",N00030815,10000,"2019-10-16 00:00:00 +0000"
2636,"Jacobs Engineering Group",N00030815,10000,"2019-10-16 00:00:00 +0000"
2637,"Majority Cmte PAC",N00030815,10000,"2019-10-16 00:00:00 +0000"
2638,"Protection Strategies Inc",N00030815,9200,"2019-10-16 00:00:00 +0000"
2639,"Consolidated Nuclear Security",N00030815,8850,"2019-10-16 00:00:00 +0000"
2640,"Gibco Construction                                ",N00030815,8400,"2019-10-16 00:00:00 +0000"
2641,"Spectra Tech",N00030815,7600,"2019-10-16 00:00:00 +0000"
2642,Ucor,N00030815,7500,"2019-10-16 00:00:00 +0000"
2643,"Card Monroe",N00030815,5600,"2019-10-16 00:00:00 +0000"
2644,"Clearpath Foundation",N00030815,5600,"2019-10-16 00:00:00 +0000"
2645,"FedEx Corp",N00030815,5600,"2019-10-16 00:00:00 +0000"
2646,"Joyce, Meredith, Flitcroth And",N00030815,5600,"2019-10-16 00:00:00 +0000"
2647,"Kenco Group",N00030815,5600,"2019-10-16 00:00:00 +0000"
2648,"Mason Livesay Scientific",N00030815,5600,"2019-10-16 00:00:00 +0000"
2649,"Stowers Machinery",N00030815,5600,"2019-10-16 00:00:00 +0000"
2650,"Allergan PLC",N00031545,10000,"2019-10-16 00:00:00 +0000"
2651,"Valero Energy",N00031545,10000,"2019-10-16 00:00:00 +0000"
2652,"L3 Technologies",N00031545,9000,"2019-10-16 00:00:00 +0000"
2653,"Camden Property Trust",N00031545,8300,"2019-10-16 00:00:00 +0000"
2654,"Allied Group",N00031545,8100,"2019-10-16 00:00:00 +0000"
2655,"Marathon Petroleum",N00031545,7500,"2019-10-16 00:00:00 +0000"
2656,"Clearpath Foundation",N00031545,5600,"2019-10-16 00:00:00 +0000"
2657,"L&F Distributors",N00031545,5600,"2019-10-16 00:00:00 +0000"
2658,"American Institute of CPAs",N00031545,5000,"2019-10-16 00:00:00 +0000"
2659,"AT&T Inc",N00031545,5000,"2019-10-16 00:00:00 +0000"
2660,"Cadence Bank",N00031545,5000,"2019-10-16 00:00:00 +0000"
2661,"Charter Communications",N00031545,5000,"2019-10-16 00:00:00 +0000"
2662,"Cigna Corp",N00031545,5000,"2019-10-16 00:00:00 +0000"
2663,"Comcast Corp",N00031545,5000,"2019-10-16 00:00:00 +0000"
2664,"Home Depot",N00031545,5000,"2019-10-16 00:00:00 +0000"
2665,"Koch Industries",N00031545,5000,"2019-10-16 00:00:00 +0000"
2666,"National Assn of Broadcasters",N00031545,5000,"2019-10-16 00:00:00 +0000"
2667,"NCTA The Internet & Television Assn",N00031545,5000,"2019-10-16 00:00:00 +0000"
2668,"Roche Diagnostics",N00031545,5000,"2019-10-16 00:00:00 +0000"
2669,"United Parcel Service",N00031545,5000,"2019-10-16 00:00:00 +0000"
2670,"Williams Companies",N00031545,5000,"2019-10-16 00:00:00 +0000"
2671,"Majority Cmte PAC",N00026631,10000,"2019-10-16 00:00:00 +0000"
2672,"Pinnacle PAC",N00026631,8000,"2019-10-16 00:00:00 +0000"
2673,Bryanlgh,N00026631,5600,"2019-10-16 00:00:00 +0000"
2674,"Sandhills Publishing",N00026631,5600,"2019-10-16 00:00:00 +0000"
2675,"Tan World",N00026631,5600,"2019-10-16 00:00:00 +0000"
2676,"Altria Group",N00026631,5000,"2019-10-16 00:00:00 +0000"
2677,"Hawkins Construction",N00026631,5000,"2019-10-16 00:00:00 +0000"
2678,"Northrop Grumman",N00026631,5000,"2019-10-16 00:00:00 +0000"
2679,"Raytheon Co",N00026631,5000,"2019-10-16 00:00:00 +0000"
2680,"Tuesday Group PAC",N00026631,5000,"2019-10-16 00:00:00 +0000"
2681,"Tyson Foods",N00026631,5000,"2019-10-16 00:00:00 +0000"
2682,"Union Pacific Corp",N00026631,5000,"2019-10-16 00:00:00 +0000"
2683,"Burlington Capital",N00026631,4500,"2019-10-16 00:00:00 +0000"
2684,"Pfizer Inc",N00026631,4500,"2019-10-16 00:00:00 +0000"
2685,"American Pistachio Growers",N00026631,4000,"2019-10-16 00:00:00 +0000"
2686,"Farm Credit Council",N00026631,4000,"2019-10-16 00:00:00 +0000"
2687,"Williams & Jensen",N00026631,4000,"2019-10-16 00:00:00 +0000"
2688,"AFLAC Inc",N00026631,3000,"2019-10-16 00:00:00 +0000"
2689,"National Assn of Health Underwriters",N00026631,3000,"2019-10-16 00:00:00 +0000"
2690,"Magnolia Metal Corp",N00026631,2800,"2019-10-16 00:00:00 +0000"
2691,"MedStar Health",N00026631,2800,"2019-10-16 00:00:00 +0000"
2692,"S&B Engineers & Constructors",N00026166,16200,"2019-10-16 00:00:00 +0000"
2693,"HK Research",N00026166,11200,"2019-10-16 00:00:00 +0000"
2694,"Rentpath LLC                                      ",N00026166,11200,"2019-10-16 00:00:00 +0000"
2695,"Deere & Co",N00026166,10000,"2019-10-16 00:00:00 +0000"
2696,"Lowe's Companies",N00026166,10000,"2019-10-16 00:00:00 +0000"
2697,"Page Interworks PA",N00026166,10000,"2019-10-16 00:00:00 +0000"
2698,"South College                                     ",N00026166,8800,"2019-10-16 00:00:00 +0000"
2699,"Full Sail",N00026166,8400,"2019-10-16 00:00:00 +0000"
2700,"Affinity Living Group",N00026166,7900,"2019-10-16 00:00:00 +0000"
2701,"Marwood Group",N00026166,7000,"2019-10-16 00:00:00 +0000"
2702,"Pegasystems Inc",N00026166,6600,"2019-10-16 00:00:00 +0000"
2703,"1st Financial Bank USA",N00026166,5600,"2019-10-16 00:00:00 +0000"
2704,"Randy Marion Automotive Group",N00026166,5600,"2019-10-16 00:00:00 +0000"
2705,"Rasmussen College",N00026166,5600,"2019-10-16 00:00:00 +0000"
2706,"Stanbridge University Vet Tech Prog",N00026166,5600,"2019-10-16 00:00:00 +0000"
2707,"Tratt Properties",N00026166,5600,"2019-10-16 00:00:00 +0000"
2708,"Woodbranch Investments",N00026166,5600,"2019-10-16 00:00:00 +0000"
2709,"Investment Co Institute",N00026166,5500,"2019-10-16 00:00:00 +0000"
2710,"Sabin Metal",N00026166,5400,"2019-10-16 00:00:00 +0000"
2711,"American Assn of Orthodontists",N00026166,5000,"2019-10-16 00:00:00 +0000"
2712,"American Council of Life Insurers",N00026166,5000,"2019-10-16 00:00:00 +0000"
2713,"Asian American Hotel Owners Assn",N00026166,5000,"2019-10-16 00:00:00 +0000"
2714,"Associated Equipment Distributors",N00026166,5000,"2019-10-16 00:00:00 +0000"
2715,"AT&T Inc",N00026166,5000,"2019-10-16 00:00:00 +0000"
2716,"Branch Banking & Trust",N00026166,5000,"2019-10-16 00:00:00 +0000"
2717,"Caterpillar Inc",N00026166,5000,"2019-10-16 00:00:00 +0000"
2718,"Dorsett's Technologies",N00026166,5000,"2019-10-16 00:00:00 +0000"
2719,E-PAC,N00026166,5000,"2019-10-16 00:00:00 +0000"
2720,"Fraternity & Sorority PAC",N00026166,5000,"2019-10-16 00:00:00 +0000"
2721,"Gemcor Inc",N00026166,5000,"2019-10-16 00:00:00 +0000"
2722,"Herbalife Nutrition",N00026166,5000,"2019-10-16 00:00:00 +0000"
2723,"Home Depot",N00026166,5000,"2019-10-16 00:00:00 +0000"
2724,"International Franchise Assn",N00026166,5000,"2019-10-16 00:00:00 +0000"
2725,"Lake Norman Security",N00026166,5000,"2019-10-16 00:00:00 +0000"
2726,"New York Life Insurance",N00026166,5000,"2019-10-16 00:00:00 +0000"
2727,"Porter & Chester Institute",N00026166,5000,"2019-10-16 00:00:00 +0000"
2728,TIAA,N00026166,5000,"2019-10-16 00:00:00 +0000"
2729,"UBS Americas",N00026166,5000,"2019-10-16 00:00:00 +0000"
2730,"Unum Group",N00026166,5000,"2019-10-16 00:00:00 +0000"
2731,"Western Technical College (Texas)",N00026166,5000,"2019-10-16 00:00:00 +0000"
2732,"Liftable Media",N00006423,5400,"2019-06-10 00:00:00 +0000"
2733,"Boeing Co",N00006423,5000,"2019-06-10 00:00:00 +0000"
2734,"Lockheed Martin",N00006423,5000,"2019-06-10 00:00:00 +0000"
2735,"Pinnacle West Capital",N00006423,5000,"2019-06-10 00:00:00 +0000"
2736,"Prosperity Action",N00006423,5000,"2019-06-10 00:00:00 +0000"
2737,"Raytheon Co",N00006423,5000,"2019-06-10 00:00:00 +0000"
2738,"Northrop Grumman",N00006423,4500,"2019-06-10 00:00:00 +0000"
2739,"Northrop Grumman Innovation Systems",N00006423,4500,"2019-06-10 00:00:00 +0000"
2740,"Cox Enterprises",N00006423,3500,"2019-06-10 00:00:00 +0000"
2741,"SMART Transportation Division",N00006423,3500,"2019-06-10 00:00:00 +0000"
2742,"General Dynamics",N00006423,3000,"2019-06-10 00:00:00 +0000"
2743,"Freedom Wireless Holdings",N00006423,2700,"2019-06-10 00:00:00 +0000"
2744,"AT&T Inc",N00006423,2500,"2019-06-10 00:00:00 +0000"
2745,"Emerson Investment Group",N00006423,2500,"2019-06-10 00:00:00 +0000"
2746,"Nammo Talley Inc",N00006423,2500,"2019-06-10 00:00:00 +0000"
2747,"Viad Corp",N00006423,2500,"2019-06-10 00:00:00 +0000"
2748,"American Intellectual Property Law Assn",N00006423,2000,"2019-06-10 00:00:00 +0000"
2749,"American Society of Anesthesiologists",N00006423,2000,"2019-06-10 00:00:00 +0000"
2750,"Huntington Ingalls Industries",N00006423,2000,"2019-06-10 00:00:00 +0000"
2751,"Recording Industry Assn of America",N00006423,2000,"2019-06-10 00:00:00 +0000"
2752,"Ryan for Congress",N00006423,2000,"2019-06-10 00:00:00 +0000"
2753,"Salt River Valley Water Users' Assn",N00006423,2000,"2019-06-10 00:00:00 +0000"
2754,"Washington PAC",N00006423,2000,"2019-06-10 00:00:00 +0000"
2755,"Northrop Grumman",N00000684,36900,"2019-06-10 00:00:00 +0000"
2756,"General Dynamics",N00000684,20200,"2019-06-10 00:00:00 +0000"
2757,"Deloitte LLP",N00000684,17600,"2019-06-10 00:00:00 +0000"
2758,"Cornerstone Government Affairs",N00000684,13700,"2019-06-10 00:00:00 +0000"
2759,"MacAndrews & Forbes",N00000684,11400,"2019-06-10 00:00:00 +0000"
2760,"Air Line Pilots Assn",N00000684,10000,"2019-06-10 00:00:00 +0000"
2761,"American Maritime Officers",N00000684,10000,"2019-06-10 00:00:00 +0000"
2762,"BAE Systems",N00000684,10000,"2019-06-10 00:00:00 +0000"
2763,"Covanta Energy Corp",N00000684,10000,"2019-06-10 00:00:00 +0000"
2764,"Intel Corp",N00000684,10000,"2019-06-10 00:00:00 +0000"
2765,"National Beer Wholesalers Assn",N00000684,10000,"2019-06-10 00:00:00 +0000"
2766,"Northrop Grumman Innovation Systems",N00000684,10000,"2019-06-10 00:00:00 +0000"
2767,"Van Scoyoc Assoc",N00000684,9700,"2019-06-10 00:00:00 +0000"
2768,"Textron Inc",N00000684,9000,"2019-06-10 00:00:00 +0000"
2769,"General Atomics",N00000684,8700,"2019-06-10 00:00:00 +0000"
2770,"Elliott Management",N00000684,8100,"2019-06-10 00:00:00 +0000"
2771,"Innovative Federal Strategies",N00000684,8100,"2019-06-10 00:00:00 +0000"
2772,"Senior Star",N00000684,8100,"2019-06-10 00:00:00 +0000"
2773,"Honeywell International",N00000684,7700,"2019-06-10 00:00:00 +0000"
2774,"American Optometric Assn",N00000684,7500,"2019-06-10 00:00:00 +0000"
2775,"General Electric",N00000684,7500,"2019-06-10 00:00:00 +0000"
2776,"Sanofi US",N00000684,7500,"2019-06-10 00:00:00 +0000"
2777,"United Airlines",N00000684,7500,"2019-06-10 00:00:00 +0000"
2778,"Boilermakers Union",N00030490,10000,"2019-10-16 00:00:00 +0000"
2779,"Fraternity & Sorority PAC",N00030490,10000,"2019-10-16 00:00:00 +0000"
2780,"Laborers Union",N00030490,10000,"2019-10-16 00:00:00 +0000"
2781,"UNITE HERE",N00030490,10000,"2019-10-16 00:00:00 +0000"
2782,"United Food & Commercial Workers Union",N00030490,10000,"2019-10-16 00:00:00 +0000"
2783,"Teamsters Union",N00030490,8500,"2019-10-16 00:00:00 +0000"
2784,"American Federation of Teachers",N00030490,5000,"2019-10-16 00:00:00 +0000"
2785,"Bricklayers Union",N00030490,5000,"2019-10-16 00:00:00 +0000"
2786,"BRIDGE PAC",N00030490,5000,"2019-10-16 00:00:00 +0000"
2787,"FirstEnergy Corp",N00030490,5000,"2019-10-16 00:00:00 +0000"
2788,"International Brotherhood of Electrical Workers",N00030490,5000,"2019-10-16 00:00:00 +0000"
2789,"National Air Traffic Controllers Assn",N00030490,5000,"2019-10-16 00:00:00 +0000"
2790,"National Assn of Letter Carriers",N00030490,5000,"2019-10-16 00:00:00 +0000"
2791,"National Rural Letter Carriers Assn",N00030490,5000,"2019-10-16 00:00:00 +0000"
2792,"Painters & Allied Trades Union",N00030490,5000,"2019-10-16 00:00:00 +0000"
2793,"Purpose PAC",N00030490,5000,"2019-10-16 00:00:00 +0000"
2794,"Rain & Hail Insurance Society",N00030490,5000,"2019-10-16 00:00:00 +0000"
2795,"Sheet Metal & Air Conditioning Contractors Assn",N00030490,5000,"2019-10-16 00:00:00 +0000"
2796,"Sheet Metal, Air, Rail & Transportation Union",N00030490,5000,"2019-10-16 00:00:00 +0000"
2797,"United Mine Workers of America",N00030490,5000,"2019-10-16 00:00:00 +0000"
2798,"Carpenters & Joiners Union",N00030856,10000,"2019-10-16 00:00:00 +0000"
2799,"Home Depot",N00030856,7500,"2019-10-16 00:00:00 +0000"
2800,"McCormack Sheep & Grain",N00030856,7500,"2019-10-16 00:00:00 +0000"
2801,"Honeywell International",N00030856,7000,"2019-10-16 00:00:00 +0000"
2802,"American Assn for Justice",N00030856,6000,"2019-10-16 00:00:00 +0000"
2803,"American Maritime Officers",N00030856,5000,"2019-10-16 00:00:00 +0000"
2804,"California Rice Industry Assn",N00030856,5000,"2019-10-16 00:00:00 +0000"
2805,"Communications Workers of America",N00030856,5000,"2019-10-16 00:00:00 +0000"
2806,"International Brotherhood of Electrical Workers",N00030856,5000,"2019-10-16 00:00:00 +0000"
2807,"Machinists/Aerospace Workers Union",N00030856,5000,"2019-10-16 00:00:00 +0000"
2808,"Painters & Allied Trades Union",N00030856,5000,"2019-10-16 00:00:00 +0000"
2809,"Plumbers/Pipefitters Union Local 447",N00030856,5000,"2019-10-16 00:00:00 +0000"
2810,"United Food & Commercial Workers Union",N00030856,5000,"2019-10-16 00:00:00 +0000"
2811,"United Pilots PAC",N00030856,5000,"2019-10-16 00:00:00 +0000"
2812,"Marine Engineers Beneficial Assn/Dist 1",N00030856,4627,"2019-10-16 00:00:00 +0000"
2813,"AKT Development",N00030856,4500,"2019-10-16 00:00:00 +0000"
2814,"Bold Ocean LLC",N00030856,4000,"2019-10-16 00:00:00 +0000"
2815,"Masters, Mates & Pilots Union",N00030856,3627,"2019-10-16 00:00:00 +0000"
2816,"Bains Ranches",N00030856,3500,"2019-10-16 00:00:00 +0000"
2817,"SMART Transportation Division",N00030856,3500,"2019-10-16 00:00:00 +0000"
2818,"Votesane PAC",N00030780,70500,"2019-10-16 00:00:00 +0000"
2819,"National Republican Senatorial Cmte",N00030780,44600,"2019-10-16 00:00:00 +0000"
2820,"Apollo Global Management",N00030780,43050,"2019-10-16 00:00:00 +0000"
2821,Amazon.com,N00030780,41950,"2019-10-16 00:00:00 +0000"
2822,"Brownstein, Hyatt et al",N00030780,39750,"2019-10-16 00:00:00 +0000"
2823,"Elliott Management",N00030780,39100,"2019-10-16 00:00:00 +0000"
2824,"DISH Network",N00030780,39000,"2019-10-16 00:00:00 +0000"
2825,"Paul, Weiss et al                                 ",N00030780,35500,"2019-10-16 00:00:00 +0000"
2826,"NextEra Energy",N00030780,34000,"2019-10-16 00:00:00 +0000"
2827,"Visa Inc",N00030780,31600,"2019-10-16 00:00:00 +0000"
2828,"Xcel Energy",N00030780,26650,"2019-10-16 00:00:00 +0000"
2829,NorPAC,N00030780,26550,"2019-10-16 00:00:00 +0000"
2830,"BGR Group",N00030780,26166,"2019-10-16 00:00:00 +0000"
2831,"DaVita Inc",N00030780,24900,"2019-10-16 00:00:00 +0000"
2832,"Deloitte LLP",N00030780,24650,"2019-10-16 00:00:00 +0000"
2833,"GE Johnson Construction",N00030780,22000,"2019-10-16 00:00:00 +0000"
2834,"Comcast Corp",N00030780,20900,"2019-10-16 00:00:00 +0000"
2835,"Fierce Government Relations",N00030780,20900,"2019-10-16 00:00:00 +0000"
2836,Anheuser-Busch,N00030780,20800,"2019-10-16 00:00:00 +0000"
2837,"United Launch Alliance",N00030780,20500,"2019-10-16 00:00:00 +0000"
2838,"Ariel Corp",N00031128,10800,"2019-10-16 00:00:00 +0000"
2839,"American Bankers Assn",N00031128,10000,"2019-10-16 00:00:00 +0000"
2840,"American Crystal Sugar",N00031128,5000,"2019-10-16 00:00:00 +0000"
2841,"American Maritime Officers",N00031128,5000,"2019-10-16 00:00:00 +0000"
2842,"FirstEnergy Corp",N00031128,5000,"2019-10-16 00:00:00 +0000"
2843,"JM Smucker Co",N00031128,5000,"2019-10-16 00:00:00 +0000"
2844,"National Rural Electric Cooperative Assn",N00031128,5000,"2019-10-16 00:00:00 +0000"
2845,"BNSF Railway",N00031128,4500,"2019-10-16 00:00:00 +0000"
2846,"CSX Corp",N00031128,4500,"2019-10-16 00:00:00 +0000"
2847,"Norfolk Southern",N00031128,4500,"2019-10-16 00:00:00 +0000"
2848,"Union Pacific Corp",N00031128,4500,"2019-10-16 00:00:00 +0000"
2849,"Air Line Pilots Assn",N00031128,3500,"2019-10-16 00:00:00 +0000"
2850,"Farm Credit Council",N00031128,3500,"2019-10-16 00:00:00 +0000"
2851,"Southwest Airlines Pilots Assn",N00031128,3500,"2019-10-16 00:00:00 +0000"
2852,"Woda Group",N00031128,3100,"2019-10-16 00:00:00 +0000"
2853,"American Pilots Assn",N00031128,3000,"2019-10-16 00:00:00 +0000"
2854,"Jim Jordan for Congress",N00031128,3000,"2019-10-16 00:00:00 +0000"
2855,"National Air Traffic Controllers Assn",N00031128,3000,"2019-10-16 00:00:00 +0000"
2856,"Republican Main Street Partnership",N00031128,3000,"2019-10-16 00:00:00 +0000"
2857,"Beaver Excavating",N00031128,2800,"2019-10-16 00:00:00 +0000"
2858,"Fitzpatrick Enterprises",N00031128,2800,"2019-10-16 00:00:00 +0000"
2859,"Kimble Clay & Limestone",N00031128,2800,"2019-10-16 00:00:00 +0000"
2860,"Kimble Companies",N00031128,2800,"2019-10-16 00:00:00 +0000"
2861,"Northmark Inc",N00031128,2800,"2019-10-16 00:00:00 +0000"
2862,"Timken Co",N00031128,2800,"2019-10-16 00:00:00 +0000"
2863,"Willoway Nurseries",N00031128,2800,"2019-10-16 00:00:00 +0000"
2864,"Ziegler Tire & Oil",N00031128,2800,"2019-10-16 00:00:00 +0000"
2865,"Monolithic Power Sys",N00026148,5600,"2019-10-16 00:00:00 +0000"
2866,"House Freedom Fund",N00026148,5000,"2019-10-16 00:00:00 +0000"
2867,"Ariel Corp",N00026148,2800,"2019-10-16 00:00:00 +0000"
2868,"Boyer Inc",N00026148,2800,"2019-10-16 00:00:00 +0000"
2869,"Bracken Resources",N00026148,2800,"2019-10-16 00:00:00 +0000"
2870,"Edward Jones Investments",N00026148,2800,"2019-10-16 00:00:00 +0000"
2871,"Gen Manager",N00026148,2800,"2019-10-16 00:00:00 +0000"
2872,"Landmark Title Inc",N00026148,2800,"2019-10-16 00:00:00 +0000"
2873,"Craig E Harrison, MDPA",N00026148,2700,"2019-10-16 00:00:00 +0000"
2874,"Huffines Communities",N00026148,2700,"2019-10-16 00:00:00 +0000"
2875,"Kim R Smith Trucking",N00026148,2700,"2019-10-16 00:00:00 +0000"
2876,"Sierra Frac Sand LLC",N00026148,2700,"2019-10-16 00:00:00 +0000"
2877,"Industrial Supply                                 ",N00026148,2000,"2019-10-16 00:00:00 +0000"
2878,"Meadows for Congress",N00026148,2000,"2019-10-16 00:00:00 +0000"
2879,"Threlkeld & Co",N00026148,2000,"2019-10-16 00:00:00 +0000"
2880,"Texas Timberjack",N00026148,1500,"2019-10-16 00:00:00 +0000"
2881,"Winstead PC",N00026148,1250,"2019-10-16 00:00:00 +0000"
2882,"Ushealth Advisors",N00026148,1170,"2019-10-16 00:00:00 +0000"
2883,"Allpoints Land Survey",N00026148,1000,"2019-10-16 00:00:00 +0000"
2884,"American Electric Power",N00026148,1000,"2019-10-16 00:00:00 +0000"
2885,"Bear Creek Smokehouse",N00026148,1000,"2019-10-16 00:00:00 +0000"
2886,"BTH Bank",N00026148,1000,"2019-10-16 00:00:00 +0000"
2887,Campaign,N00026148,1000,"2019-10-16 00:00:00 +0000"
2888,"Don's T V & Appliance",N00026148,1000,"2019-10-16 00:00:00 +0000"
2889,"Eagle Global Advisors",N00026148,1000,"2019-10-16 00:00:00 +0000"
2890,"East Texas Fasteners",N00026148,1000,"2019-10-16 00:00:00 +0000"
2891,"East Texas Medical Center",N00026148,1000,"2019-10-16 00:00:00 +0000"
